year,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
2016,Aberdeen,"16,155",74,1,8,19,46,711,160,501,50,5
2016,Algona,"3,166",2,0,1,0,1,49,16,31,2,0
2016,Anacortes,"16,532",15,0,1,4,10,463,65,369,29,2
2016,Arlington,"19,142",51,0,5,10,36,871,127,635,109,3
2016,Asotin,"1,287",0,0,0,0,0,23,6,16,1,0
2016,Auburn,"78,400",329,6,49,98,176,"3,618",732,"2,188",698,23
2016,Bainbridge Island,"23,998",26,0,8,1,17,320,64,243,13,1
2016,Battle Ground,"19,734",26,2,9,1,14,372,40,291,41,1
2016,Bellevue,"142,238",139,0,14,61,64,"4,635",877,"3,458",300,13
2016,Bellingham,"86,005",224,0,61,47,116,"4,743",751,"3,709",283,18
2016,Bingen,722,0,0,0,0,0,15,1,11,3,0
2016,Black Diamond,"4,420",3,0,2,0,1,53,19,31,3,0
2016,Blaine,"5,130",8,0,1,1,6,142,26,113,3,0
2016,Bonney Lake,"20,449",30,0,5,5,20,563,120,401,42,0
2016,Bothell,"43,828",50,0,11,15,24,"1,214",227,889,98,7
2016,Bremerton,"39,862",198,0,29,38,131,"1,576",257,"1,159",160,9
2016,Brewster,"2,350",11,0,2,1,8,28,9,15,4,0
2016,Brier,"6,753",4,0,0,0,4,65,18,38,9,0
2016,Buckley,"5,077",5,0,2,0,3,69,9,56,4,0
2016,Burien,"50,934",249,3,43,77,126,"2,581",551,"1,364",666,19
2016,Burlington,"8,680",27,5,3,12,7,"1,041",103,894,44,0
2016,Camas,"22,350",15,0,7,2,6,309,67,219,23,2
2016,Carnation,"1,890",1,0,0,0,1,40,14,21,5,2
2016,Castle Rock,"2,197",5,0,0,0,5,65,4,56,5,0
2016,Centralia,"16,785",68,1,10,22,35,"1,022",177,729,116,7
2016,Chehalis,"7,417",15,0,2,4,9,619,68,514,37,0
2016,Cheney,"11,703",31,0,13,3,15,348,57,243,48,0
2016,Chewelah,"2,607",5,0,0,0,5,68,22,42,4,0
2016,Clarkston,"7,330",27,1,6,2,18,556,69,474,13,1
2016,Cle Elum,"2,812",5,0,1,1,3,88,25,58,5,0
2016,Clyde Hill,"3,279",0,0,0,0,0,56,20,36,0,0
2016,College Place,"9,114",11,0,6,1,4,283,26,233,24,0
2016,Colville,"4,728",3,0,0,1,2,116,13,100,3,0
2016,Connell,"5,747",1,0,0,0,1,32,8,24,0,1
2016,Cosmopolis,"1,583",0,0,0,0,0,13,1,12,0,1
2016,Coulee Dam,"1,092",0,0,0,0,0,47,5,34,8,0
2016,Covington,"19,529",29,0,4,11,14,660,100,497,63,2
2016,Darrington,"1,381",7,0,4,0,3,38,13,19,6,0
2016,Des Moines,"31,523",118,3,25,42,48,"1,294",161,817,316,11
2016,Dupont,"9,593",16,0,1,1,14,53,4,38,11,3
2016,Duvall,"7,876",0,0,0,0,0,50,9,41,0,0
2016,East Wenatchee,"13,746",20,0,4,1,15,507,57,423,27,0
2016,Eatonville,"2,930",8,0,0,0,8,60,17,33,10,1
2016,Edgewood,"9,918",19,0,0,5,14,253,66,162,25,1
2016,Edmonds,"41,705",71,1,15,13,42,"1,154",169,899,86,4
2016,Ellensburg,"19,148",32,0,9,6,17,661,87,534,40,2
2016,Elma,"3,020",9,0,1,1,7,131,38,87,6,0
2016,Enumclaw,"11,709",16,0,3,4,9,292,39,210,43,1
2016,Ephrata,"8,116",19,0,3,3,13,411,97,299,15,0
2016,Everett,"108,988",490,1,64,148,277,"5,608",949,"3,701",958,24
2016,Everson,"4,128",0,0,0,0,0,40,2,34,4,0
