ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",91806,10701,"Census Tract 328, King County, WA","14000US53033032800"
2017,"2017",0,"Total",64375,10927,"Census Tract 266, King County, WA","14000US53033026600"
2017,"2017",0,"Total",50030,8291,"Census Tract 1, King County, WA","14000US53033000100"
2017,"2017",0,"Total",83547,17206,"Census Tract 267, King County, WA","14000US53033026700"
2017,"2017",0,"Total",32106,11400,"Census Tract 265, King County, WA","14000US53033026500"
2017,"2017",0,"Total",67397,5724,"Census Tract 2, King County, WA","14000US53033000200"
2017,"2017",0,"Total",96500,19020,"Census Tract 327.04, King County, WA","14000US53033032704"
2017,"2017",0,"Total",50773,7224.000000000001,"Census Tract 264, King County, WA","14000US53033026400"
2017,"2017",0,"Total",45880,8726,"Census Tract 268.01, King County, WA","14000US53033026801"
2017,"2017",0,"Total",73098,15848,"Census Tract 3, King County, WA","14000US53033000300"
2017,"2017",0,"Total",90208,15262,"Census Tract 327.03, King County, WA","14000US53033032703"
2017,"2017",0,"Total",59297,12014,"Census Tract 263, King County, WA","14000US53033026300"
2017,"2017",0,"Total",32568,2370,"Census Tract 4.01, King County, WA","14000US53033000401"
2017,"2017",0,"Total",45099,10635,"Census Tract 268.02, King County, WA","14000US53033026802"
2017,"2017",0,"Total",52636,10526,"Census Tract 262, King County, WA","14000US53033026200"
2017,"2017",0,"Total",64972,13814,"Census Tract 4.02, King County, WA","14000US53033000402"
2017,"2017",0,"Total",101344,6220,"Census Tract 327.02, King County, WA","14000US53033032702"
2017,"2017",0,"Total",49104,10117,"Census Tract 261, King County, WA","14000US53033026100"
2017,"2017",0,"Total",59333,16161,"Census Tract 270, King County, WA","14000US53033027000"
2017,"2017",0,"Total",135524,15001.999999999998,"Census Tract 5, King County, WA","14000US53033000500"
2017,"2017",0,"Total",143262,13609,"Census Tract 326.02, King County, WA","14000US53033032602"
2017,"2017",0,"Total",55656,9329,"Census Tract 260.02, King County, WA","14000US53033026002"
2017,"2017",0,"Total",61536,10029,"Census Tract 6, King County, WA","14000US53033000600"
2017,"2017",0,"Total",43006,7281.000000000001,"Census Tract 271, King County, WA","14000US53033027100"
2017,"2017",0,"Total",86318,8266,"Census Tract 260.01, King County, WA","14000US53033026001"
2017,"2017",0,"Total",52957,5666,"Census Tract 7, King County, WA","14000US53033000700"
2017,"2017",0,"Total",103056,12955,"Census Tract 326.01, King County, WA","14000US53033032601"
2017,"2017",0,"Total",80547,8889,"Census Tract 258.06, King County, WA","14000US53033025806"
2017,"2017",0,"Total",57951,11472,"Census Tract 272, King County, WA","14000US53033027200"
2017,"2017",0,"Total",97344,18239,"Census Tract 8, King County, WA","14000US53033000800"
2017,"2017",0,"Total",101366,10939,"Census Tract 325, King County, WA","14000US53033032500"
2017,"2017",0,"Total",61958,5272,"Census Tract 258.05, King County, WA","14000US53033025805"
2017,"2017",0,"Total",135625,23332,"Census Tract 9, King County, WA","14000US53033000900"
2017,"2017",0,"Total",51309,6485,"Census Tract 273, King County, WA","14000US53033027300"
2017,"2017",0,"Total",83816,12607,"Census Tract 258.04, King County, WA","14000US53033025804"
2017,"2017",0,"Total",103750,23952,"Census Tract 10, King County, WA","14000US53033001000"
2017,"2017",0,"Total",120809,38001,"Census Tract 324.02, King County, WA","14000US53033032402"
2017,"2017",0,"Total",59464,4987,"Census Tract 258.03, King County, WA","14000US53033025803"
2017,"2017",0,"Total",67103,4071.9999999999995,"Census Tract 274, King County, WA","14000US53033027400"
2017,"2017",0,"Total",78542,16551,"Census Tract 11, King County, WA","14000US53033001100"
2017,"2017",0,"Total",116125,16961,"Census Tract 324.01, King County, WA","14000US53033032401"
2017,"2017",0,"Total",91941,10796,"Census Tract 257.02, King County, WA","14000US53033025702"
2017,"2017",0,"Total",46358,9213,"Census Tract 12, King County, WA","14000US53033001200"
2017,"2017",0,"Total",52533,8046.999999999999,"Census Tract 275, King County, WA","14000US53033027500"
2017,"2017",0,"Total",60440,7831,"Census Tract 257.01, King County, WA","14000US53033025701"
2017,"2017",0,"Total",70764,11468,"Census Tract 13, King County, WA","14000US53033001300"
2017,"2017",0,"Total",143375,15288,"Census Tract 323.29, King County, WA","14000US53033032329"
2017,"2017",0,"Total",106985,9581,"Census Tract 256.02, King County, WA","14000US53033025602"
2017,"2017",0,"Total",72132,17448,"Census Tract 276, King County, WA","14000US53033027600"
2017,"2017",0,"Total",71144,14091,"Census Tract 14, King County, WA","14000US53033001400"
2017,"2017",0,"Total",135588,20042,"Census Tract 323.28, King County, WA","14000US53033032328"
2017,"2017",0,"Total",71500,8777,"Census Tract 256.01, King County, WA","14000US53033025601"
2017,"2017",0,"Total",96019,11687,"Census Tract 15, King County, WA","14000US53033001500"
2017,"2017",0,"Total",72281,17032,"Census Tract 277.01, King County, WA","14000US53033027701"
2017,"2017",0,"Total",56591,6963,"Census Tract 255, King County, WA","14000US53033025500"
2017,"2017",0,"Total",117250,19088,"Census Tract 16, King County, WA","14000US53033001600"
2017,"2017",0,"Total",100455,10993,"Census Tract 323.27, King County, WA","14000US53033032327"
2017,"2017",0,"Total",51007,6120,"Census Tract 254, King County, WA","14000US53033025400"
2017,"2017",0,"Total",86379,19961,"Census Tract 277.02, King County, WA","14000US53033027702"
2017,"2017",0,"Total",69190,5903,"Census Tract 17.01, King County, WA","14000US53033001701"
2017,"2017",0,"Total",157375,20482,"Census Tract 323.26, King County, WA","14000US53033032326"
2017,"2017",0,"Total",43092,13546.999999999998,"Census Tract 253.02, King County, WA","14000US53033025302"
2017,"2017",0,"Total",69177,6778.000000000001,"Census Tract 17.02, King County, WA","14000US53033001702"
2017,"2017",0,"Total",91513,10754,"Census Tract 278, King County, WA","14000US53033027800"
2017,"2017",0,"Total",81379,10104,"Census Tract 253.01, King County, WA","14000US53033025301"
2017,"2017",0,"Total",89260,21064,"Census Tract 18, King County, WA","14000US53033001800"
2017,"2017",0,"Total",108688,10459,"Census Tract 323.25, King County, WA","14000US53033032325"
2017,"2017",0,"Total",91199,21597,"Census Tract 252, King County, WA","14000US53033025200"
2017,"2017",0,"Total",61949,5507,"Census Tract 279, King County, WA","14000US53033027900"
2017,"2017",0,"Total",75652,8334,"Census Tract 19, King County, WA","14000US53033001900"
2017,"2017",0,"Total",99917,11943,"Census Tract 323.24, King County, WA","14000US53033032324"
2017,"2017",0,"Total",100242,11762,"Census Tract 251.02, King County, WA","14000US53033025102"
2017,"2017",0,"Total",95469,11763,"Census Tract 20, King County, WA","14000US53033002000"
2017,"2017",0,"Total",47006,5094,"Census Tract 280, King County, WA","14000US53033028000"
2017,"2017",0,"Total",85296,8183,"Census Tract 251.01, King County, WA","14000US53033025101"
2017,"2017",0,"Total",95515,9875,"Census Tract 21, King County, WA","14000US53033002100"
2017,"2017",0,"Total",131970,13006,"Census Tract 323.23, King County, WA","14000US53033032323"
2017,"2017",0,"Total",149704,30402.999999999996,"Census Tract 250.06, King County, WA","14000US53033025006"
2017,"2017",0,"Total",54917,12029,"Census Tract 281, King County, WA","14000US53033028100"
2017,"2017",0,"Total",144318,37365,"Census Tract 22, King County, WA","14000US53033002200"
2017,"2017",0,"Total",166172,22532,"Census Tract 323.22, King County, WA","14000US53033032322"
2017,"2017",0,"Total",112014,15075,"Census Tract 250.05, King County, WA","14000US53033025005"
2017,"2017",0,"Total",109402,14224.000000000002,"Census Tract 24, King County, WA","14000US53033002400"
2017,"2017",0,"Total",44632,17339,"Census Tract 282, King County, WA","14000US53033028200"
2017,"2017",0,"Total",151797,27715,"Census Tract 250.03, King County, WA","14000US53033025003"
2017,"2017",0,"Total",107401,11571,"Census Tract 25, King County, WA","14000US53033002500"
2017,"2017",0,"Total",209313,15857,"Census Tract 323.21, King County, WA","14000US53033032321"
2017,"2017",0,"Total",123233,17297,"Census Tract 250.01, King County, WA","14000US53033025001"
2017,"2017",0,"Total",79561,3656.9999999999995,"Census Tract 283, King County, WA","14000US53033028300"
2017,"2017",0,"Total",106193,9548,"Census Tract 26, King County, WA","14000US53033002600"
2017,"2017",0,"Total",168977,17582,"Census Tract 323.20, King County, WA","14000US53033032320"
2017,"2017",0,"Total",159943,15049,"Census Tract 249.03, King County, WA","14000US53033024903"
2017,"2017",0,"Total",121807,10655,"Census Tract 27, King County, WA","14000US53033002700"
2017,"2017",0,"Total",45000,5997,"Census Tract 284.02, King County, WA","14000US53033028402"
2017,"2017",0,"Total",152933,22860,"Census Tract 249.02, King County, WA","14000US53033024902"
2017,"2017",0,"Total",119875,11495,"Census Tract 28, King County, WA","14000US53033002800"
2017,"2017",0,"Total",79242,18400,"Census Tract 323.19, King County, WA","14000US53033032319"
2017,"2017",0,"Total",136736,16309,"Census Tract 249.01, King County, WA","14000US53033024901"
2017,"2017",0,"Total",35985,4531,"Census Tract 284.03, King County, WA","14000US53033028403"
2017,"2017",0,"Total",104375,13911,"Census Tract 29, King County, WA","14000US53033002900"
2017,"2017",0,"Total",167639,14726,"Census Tract 323.18, King County, WA","14000US53033032318"
2017,"2017",0,"Total",81711,22688,"Census Tract 248, King County, WA","14000US53033024800"
2017,"2017",0,"Total",100500,17021,"Census Tract 30, King County, WA","14000US53033003000"
2017,"2017",0,"Total",62436,10856,"Census Tract 285, King County, WA","14000US53033028500"
2017,"2017",0,"Total",115104,17938,"Census Tract 247.02, King County, WA","14000US53033024702"
2017,"2017",0,"Total",104934,6849,"Census Tract 31, King County, WA","14000US53033003100"
2017,"2017",0,"Total",162532,17411,"Census Tract 323.17, King County, WA","14000US53033032317"
2017,"2017",0,"Total",89049,12837,"Census Tract 247.01, King County, WA","14000US53033024701"
2017,"2017",0,"Total",92762,11954,"Census Tract 286, King County, WA","14000US53033028600"
2017,"2017",0,"Total",79141,13650.000000000002,"Census Tract 32, King County, WA","14000US53033003200"
2017,"2017",0,"Total",158936,13932,"Census Tract 323.16, King County, WA","14000US53033032316"
2017,"2017",0,"Total",210491,22930,"Census Tract 246.02, King County, WA","14000US53033024602"
2017,"2017",0,"Total",99547,11423,"Census Tract 33, King County, WA","14000US53033003300"
2017,"2017",0,"Total",78591,6122,"Census Tract 287, King County, WA","14000US53033028700"
2017,"2017",0,"Total",181250,26161,"Census Tract 246.01, King County, WA","14000US53033024601"
2017,"2017",0,"Total",102105,14582.000000000002,"Census Tract 34, King County, WA","14000US53033003400"
2017,"2017",0,"Total",135993,8044.000000000001,"Census Tract 323.15, King County, WA","14000US53033032315"
2017,"2017",0,"Total",177311,22660,"Census Tract 245, King County, WA","14000US53033024500"
2017,"2017",0,"Total",67500,17903,"Census Tract 288.01, King County, WA","14000US53033028801"
2017,"2017",0,"Total",90066,15413,"Census Tract 35, King County, WA","14000US53033003500"
2017,"2017",0,"Total",101850,10355,"Census Tract 323.13, King County, WA","14000US53033032313"
2017,"2017",0,"Total",86172,13745.000000000002,"Census Tract 244, King County, WA","14000US53033024400"
2017,"2017",0,"Total",69408,17516,"Census Tract 36, King County, WA","14000US53033003600"
2017,"2017",0,"Total",47117,9279,"Census Tract 288.02, King County, WA","14000US53033028802"
2017,"2017",0,"Total",114821,19349,"Census Tract 243, King County, WA","14000US53033024300"
2017,"2017",0,"Total",99722,21252,"Census Tract 38, King County, WA","14000US53033003800"
2017,"2017",0,"Total",128086,24630,"Census Tract 323.11, King County, WA","14000US53033032311"
2017,"2017",0,"Total",186875,31584,"Census Tract 242, King County, WA","14000US53033024200"
2017,"2017",0,"Total",65455,8443,"Census Tract 289.01, King County, WA","14000US53033028901"
2017,"2017",0,"Total",109659,27411.999999999996,"Census Tract 39, King County, WA","14000US53033003900"
2017,"2017",0,"Total",115273,9146,"Census Tract 323.09, King County, WA","14000US53033032309"
2017,"2017",0,"Total",208229,11153,"Census Tract 241, King County, WA","14000US53033024100"
2017,"2017",0,"Total",76250,6790.000000000001,"Census Tract 40, King County, WA","14000US53033004000"
2017,"2017",0,"Total",46927,6979.999999999999,"Census Tract 289.02, King County, WA","14000US53033028902"
2017,"2017",0,"Total",134243,16370,"Census Tract 240, King County, WA","14000US53033024000"
2017,"2017",0,"Total",168415,16893,"Census Tract 41, King County, WA","14000US53033004100"
2017,"2017",0,"Total",128942,13008,"Census Tract 323.07, King County, WA","14000US53033032307"
2017,"2017",0,"Total",150675,26778,"Census Tract 239, King County, WA","14000US53033023900"
2017,"2017",0,"Total",70677,9521,"Census Tract 290.01, King County, WA","14000US53033029001"
2017,"2017",0,"Total",129226,12149,"Census Tract 42, King County, WA","14000US53033004200"
2017,"2017",0,"Total",203900,13233,"Census Tract 322.15, King County, WA","14000US53033032215"
2017,"2017",0,"Total",111068,12765,"Census Tract 238.04, King County, WA","14000US53033023804"
2017,"2017",0,"Total",85357,21089,"Census Tract 43.01, King County, WA","14000US53033004301"
2017,"2017",0,"Total",56140,8750,"Census Tract 290.03, King County, WA","14000US53033029003"
2017,"2017",0,"Total",105223,12559,"Census Tract 238.03, King County, WA","14000US53033023803"
2017,"2017",0,"Total",26886,7290,"Census Tract 43.02, King County, WA","14000US53033004302"
2017,"2017",0,"Total",166351,10388,"Census Tract 322.14, King County, WA","14000US53033032214"
2017,"2017",0,"Total",94444,18528,"Census Tract 238.01, King County, WA","14000US53033023801"
2017,"2017",0,"Total",37018,6662,"Census Tract 290.04, King County, WA","14000US53033029004"
2017,"2017",0,"Total",56725,11198,"Census Tract 44, King County, WA","14000US53033004400"
2017,"2017",0,"Total",152460,38942,"Census Tract 322.13, King County, WA","14000US53033032213"
2017,"2017",0,"Total",114000,18663,"Census Tract 237, King County, WA","14000US53033023700"
2017,"2017",0,"Total",108304,13516.999999999998,"Census Tract 45, King County, WA","14000US53033004500"
2017,"2017",0,"Total",83750,19638,"Census Tract 291.01, King County, WA","14000US53033029101"
2017,"2017",0,"Total",73228,9580,"Census Tract 236.04, King County, WA","14000US53033023604"
2017,"2017",0,"Total",125547,21321,"Census Tract 46, King County, WA","14000US53033004600"
2017,"2017",0,"Total",134318,17292,"Census Tract 322.12, King County, WA","14000US53033032212"
2017,"2017",0,"Total",92703,17092,"Census Tract 236.03, King County, WA","14000US53033023603"
2017,"2017",0,"Total",82500,20727,"Census Tract 291.02, King County, WA","14000US53033029102"
2017,"2017",0,"Total",79162,5909,"Census Tract 47, King County, WA","14000US53033004700"
