,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
3,2017,2017,0,Total,50030,8291,"Census Tract 1, King County, WA",14000US53033000100,L
6,2017,2017,0,Total,67397,5724,"Census Tract 2, King County, WA",14000US53033000200,L
10,2017,2017,0,Total,73098,15848,"Census Tract 3, King County, WA",14000US53033000300,N
13,2017,2017,0,Total,32568,2370,"Census Tract 4.01, King County, WA",14000US53033000401,N
16,2017,2017,0,Total,64972,13814,"Census Tract 4.02, King County, WA",14000US53033000402,N
20,2017,2017,0,Total,135524,15002,"Census Tract 5, King County, WA",14000US53033000500,N
23,2017,2017,0,Total,61536,10029,"Census Tract 6, King County, WA",14000US53033000600,N
26,2017,2017,0,Total,52957,5666,"Census Tract 7, King County, WA",14000US53033000700,L
30,2017,2017,0,Total,97344,18239,"Census Tract 8, King County, WA",14000US53033000800,L
33,2017,2017,0,Total,135625,23332,"Census Tract 9, King County, WA",14000US53033000900,L
36,2017,2017,0,Total,103750,23952,"Census Tract 10, King County, WA",14000US53033001000,L
40,2017,2017,0,Total,78542,16551,"Census Tract 11, King County, WA",14000US53033001100,L
43,2017,2017,0,Total,46358,9213,"Census Tract 12, King County, WA",14000US53033001200,L
46,2017,2017,0,Total,70764,11468,"Census Tract 13, King County, WA",14000US53033001300,N
50,2017,2017,0,Total,71144,14091,"Census Tract 14, King County, WA",14000US53033001400,N
53,2017,2017,0,Total,96019,11687,"Census Tract 15, King County, WA",14000US53033001500,J
56,2017,2017,0,Total,117250,19088,"Census Tract 16, King County, WA",14000US53033001600,N
60,2017,2017,0,Total,69190,5903,"Census Tract 17.01, King County, WA",14000US53033001701,J
63,2017,2017,0,Total,69177,6778,"Census Tract 17.02, King County, WA",14000US53033001702,J
66,2017,2017,0,Total,89260,21064,"Census Tract 18, King County, WA",14000US53033001800,N
70,2017,2017,0,Total,75652,8334,"Census Tract 19, King County, WA",14000US53033001900,L
73,2017,2017,0,Total,95469,11763,"Census Tract 20, King County, WA",14000US53033002000,L
76,2017,2017,0,Total,95515,9875,"Census Tract 21, King County, WA",14000US53033002100,U
80,2017,2017,0,Total,144318,37365,"Census Tract 22, King County, WA",14000US53033002200,U
83,2017,2017,0,Total,109402,14224,"Census Tract 24, King County, WA",14000US53033002400,U
86,2017,2017,0,Total,107401,11571,"Census Tract 25, King County, WA",14000US53033002500,U
90,2017,2017,0,Total,106193,9548,"Census Tract 26, King County, WA",14000US53033002600,U
93,2017,2017,0,Total,121807,10655,"Census Tract 27, King County, WA",14000US53033002700,J
96,2017,2017,0,Total,119875,11495,"Census Tract 28, King County, WA",14000US53033002800,J
100,2017,2017,0,Total,104375,13911,"Census Tract 29, King County, WA",14000US53033002900,J
103,2017,2017,0,Total,100500,17021,"Census Tract 30, King County, WA",14000US53033003000,J
106,2017,2017,0,Total,104934,6849,"Census Tract 31, King County, WA",14000US53033003100,J
110,2017,2017,0,Total,79141,13650,"Census Tract 32, King County, WA",14000US53033003200,B
113,2017,2017,0,Total,99547,11423,"Census Tract 33, King County, WA",14000US53033003300,J
116,2017,2017,0,Total,102105,14582,"Census Tract 34, King County, WA",14000US53033003400,B
120,2017,2017,0,Total,90066,15413,"Census Tract 35, King County, WA",14000US53033003500,B
123,2017,2017,0,Total,69408,17516,"Census Tract 36, King County, WA",14000US53033003600,J
126,2017,2017,0,Total,99722,21252,"Census Tract 38, King County, WA",14000US53033003800,U
130,2017,2017,0,Total,109659,27412,"Census Tract 39, King County, WA",14000US53033003900,U
136,2017,2017,0,Total,168415,16893,"Census Tract 41, King County, WA",14000US53033004100,U
140,2017,2017,0,Total,129226,12149,"Census Tract 42, King County, WA",14000US53033004200,U
143,2017,2017,0,Total,85357,21089,"Census Tract 43.01, King County, WA",14000US53033004301,U
146,2017,2017,0,Total,26886,7290,"Census Tract 43.02, King County, WA",14000US53033004302,U
150,2017,2017,0,Total,56725,11198,"Census Tract 44, King County, WA",14000US53033004400,U
153,2017,2017,0,Total,108304,13517,"Census Tract 45, King County, WA",14000US53033004500,B
156,2017,2017,0,Total,125547,21321,"Census Tract 46, King County, WA",14000US53033004600,J
160,2017,2017,0,Total,79162,5909,"Census Tract 47, King County, WA",14000US53033004700,B
163,2017,2017,0,Total,112328,10897,"Census Tract 48, King County, WA",14000US53033004800,B
166,2017,2017,0,Total,77075,5752,"Census Tract 49, King County, WA",14000US53033004900,B
170,2017,2017,0,Total,79980,11671,"Census Tract 50, King County, WA",14000US53033005000,B
173,2017,2017,0,Total,105580,20000,"Census Tract 51, King County, WA",14000US53033005100,B
176,2017,2017,0,Total,41847,7674,"Census Tract 52, King County, WA",14000US53033005200,B
180,2017,2017,0,Total,20401,6757,"Census Tract 53.01, King County, WA",14000US53033005301,U
183,2017,2017,0,Total,10521,8636,"Census Tract 53.02, King County, WA",14000US53033005302,U
186,2017,2017,0,Total,95703,11793,"Census Tract 54, King County, WA",14000US53033005400,B
190,2017,2017,0,Total,167368,11813,"Census Tract 56, King County, WA",14000US53033005600,Q
193,2017,2017,0,Total,111974,10681,"Census Tract 57, King County, WA",14000US53033005700,Q
196,2017,2017,0,Total,75523,2834,"Census Tract 58.01, King County, WA",14000US53033005801,Q
200,2017,2017,0,Total,73836,7808,"Census Tract 58.02, King County, WA",14000US53033005802,Q
203,2017,2017,0,Total,103369,15239,"Census Tract 59, King County, WA",14000US53033005900,Q
206,2017,2017,0,Total,101680,15643,"Census Tract 60, King County, WA",14000US53033006000,Q
210,2017,2017,0,Total,104521,9563,"Census Tract 61, King County, WA",14000US53033006100,D
213,2017,2017,0,Total,160625,27322,"Census Tract 62, King County, WA",14000US53033006200,C
216,2017,2017,0,Total,134811,22028,"Census Tract 63, King County, WA",14000US53033006300,C
220,2017,2017,0,Total,162532,18565,"Census Tract 64, King County, WA",14000US53033006400,C
223,2017,2017,0,Total,96220,13572,"Census Tract 65, King County, WA",14000US53033006500,C
226,2017,2017,0,Total,88854,12811,"Census Tract 66, King County, WA",14000US53033006600,D
230,2017,2017,0,Total,106143,9198,"Census Tract 67, King County, WA",14000US53033006700,Q
233,2017,2017,0,Total,117067,12380,"Census Tract 68, King County, WA",14000US53033006800,Q
236,2017,2017,0,Total,109792,17699,"Census Tract 69, King County, WA",14000US53033006900,Q
240,2017,2017,0,Total,73317,14147,"Census Tract 70, King County, WA",14000US53033007000,Q
