기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2009	합계	68,657	52,483	10,173	25,013	17,297	16,174	15,163	391	3,619	11,153	15,163	882	1,757	432	164	72	3,969	1,064	4,103	10	2,710
2009	종로구	2,324	1,696	263	1,285	148	628	372	2	149	221	372	25	39	-	2	2	72	102	79	-	51
2009	중구	1,742	1,425	227	459	739	317	415	9	72	334	415	57	57	1	5	1	128	1	98	1	66
2009	용산구	2,478	2,140	421	1,454	265	338	585	14	168	403	585	58	99	54	10	-	64	-	152	-	148
2009	성동구	1,545	1,151	192	546	413	394	283	19	67	197	283	37	30	26	4	3	82	1	60	-	40
2009	광진구	2,160	1,777	401	826	550	383	571	18	104	449	571	37	57	57	11	-	124	38	178	-	69
2009	동대문구	2,981	2,260	242	1,071	947	721	311	9	76	226	311	22	44	1	12	-	82	4	97	-	49
2009	중랑구	2,854	2,309	292	1,205	812	545	441	8	87	346	441	44	72	2	2	1	83	37	142	-	58
2009	성북구	2,492	2,003	329	1,115	559	489	500	13	118	369	500	24	24	-	5	32	155	34	162	2	62
2009	강북구	1,721	1,294	289	434	571	427	469	20	143	306	469	12	68	1	-	1	107	80	121	-	79
2009	도봉구	1,774	1,409	469	447	493	365	709	13	236	460	709	32	56	-	2	-	133	192	184	-	110
2009	노원구	2,847	2,092	615	1,043	434	755	842	25	241	576	842	25	73	9	6	3	217	188	229	-	92
2009	은평구	3,410	2,710	623	890	1,197	700	786	11	158	617	786	12	42	-	3	2	95	101	212	4	315
2009	서대문구	2,657	2,105	376	1,330	399	552	607	12	109	486	607	23	80	-	9	-	145	18	164	-	168
2009	마포구	3,119	2,267	419	1,006	842	852	606	14	106	486	606	12	51	38	14	-	182	-	215	-	94
2009	양천구	2,370	1,826	399	451	976	544	573	5	121	447	573	7	60	1	6	-	223	4	198	-	74
2009	강서구	3,293	2,601	613	1,071	917	692	1,001	20	214	767	1,001	57	108	18	12	2	341	10	342	-	111
2009	구로구	2,292	1,748	422	1,080	246	544	889	11	98	780	889	32	39	-	5	5	336	3	248	1	220
